subject_id,title,url,pub_info,tag,scraped
37136205,法比安,https://book.douban.com/subject/37136205/,[德] 埃里希·凯斯特纳 / 李晓艳 / 北京联合出版公司 / 2025-1 / 52.00元,文学,False
37045755,你为什么不离开我的生活？,https://book.douban.com/subject/37045755/,[美] 薇薇安·戈尔尼克 / 蒋慧 / 北京联合出版公司 / 2025-2 / 49.80元,文学,False
35005045,夜晚的潜水艇,https://book.douban.com/subject/35005045/,陈春成 / 上海三联书店 / 2020-9 / 52.00元,文学,False
36504167,涅朵奇卡: 一个女人的一生,https://book.douban.com/subject/36504167/,陀思妥耶夫斯基 / 于大卫 / 山东文艺出版社 / 2023-9 / 45.00元,文学,False
37078164,消失的“公主”: 女性作家和经典童话,https://book.douban.com/subject/37078164/,[英] 安妮·E.达根 / 陈文静 / 上海社会科学院出版社 / 2025-1 / 68.00元,文学,False
36996591,陌生的阿富汗: 一个女人的独行漫记,https://book.douban.com/subject/36996591/,班卓 / 上海人民出版社 / 2024-9 / 69.00,文学,False
36953167,在曼哈顿长大: 伍迪·艾伦幽默故事集,https://book.douban.com/subject/36953167/,[美] 伍迪·艾伦 / 陈正宇 / 中信出版集团 / 2025-1,文学,False
36104107,长安的荔枝,https://book.douban.com/subject/36104107/,马伯庸 / 湖南文艺出版社 / 2022-10 / 45.00元,小说,False
36328704,太白金星有点烦,https://book.douban.com/subject/36328704/,马伯庸 / 湖南文艺出版社 / 2023-6 / 45.00,小说,False
36710597,食南之徒,https://book.douban.com/subject/36710597/,马伯庸 / 湖南文艺出版社 / 2024-4-1 / 56.00元,小说,False
35534519,素食者,https://book.douban.com/subject/35534519/,[韩] 韩江 / 胡椒筒 / 四川文艺出版社 / 2021-9 / 48,小说,False
36743030,恶女的告白,https://book.douban.com/subject/36743030/,[日] 叶真中显 / 吴曦 / 中国友谊出版公司 / 2024-9 / 55.00元,小说,False
36721763,暗处的女儿,https://book.douban.com/subject/36721763/,[意大利] 埃莱娜·费兰特 / 陈英、王彦丁、黄语瞳 / 人民文学出版社 / 2024-4 / 45.00,小说,False
36987849,你杀了谁,https://book.douban.com/subject/36987849/,[日] 东野圭吾 / 苏玖龄 / 南海出版公司 / 2025-1 / 59.00元,小说,False
36952611,世界末日前的谋杀,https://book.douban.com/subject/36952611/,[日] 荒木茜 / 董纾含 / 北京日报出版社 / 2024-12-20 / 49.90元,小说,False
36831351,献灯使,https://book.douban.com/subject/36831351/,[日本] 多和田叶子 / 蕾克 / 广西师范大学出版社 / 2025-1 / 65.00元,小说,False
35031587,绝叫,https://book.douban.com/subject/35031587/,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,小说,False
37023820,乔瓦尼的房间,https://book.douban.com/subject/37023820/,[美] 詹姆斯·鲍德温 / 李佳纯 / 上海译文出版社 / 2024-9 / 58.00元,小说,False
36457094,明亮的夜晚,https://book.douban.com/subject/36457094/,[韩]崔恩荣 / 叶蕾 / 台海出版社 / 2023-8 / 52,小说,False
4913064,活着,https://book.douban.com/subject/4913064/,余华 / 作家出版社 / 2012-8 / 28.00元,小说,False
36062390,一句顶一万句,https://book.douban.com/subject/36062390/,刘震云 / 花城出版社 / 2022-8 / 68.00元,小说,False
36832093,方舟,https://book.douban.com/subject/36832093/,[日] 夕木春央 / 佳辰 / 中国友谊出版公司 / 2025-1 / 59,小说,False
35005045,夜晚的潜水艇,https://book.douban.com/subject/35005045/,陈春成 / 上海三联书店 / 2020-9 / 52.00元,小说,False
6082808,百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,小说,False
30331835,窄门,https://book.douban.com/subject/30331835/,[法] 安德烈·纪德 / 顾琪静 / 天津人民出版社 / 2018-10 / 45.00,小说,False
36956148,团圆记,https://book.douban.com/subject/36956148/,杨云苏 / 浙江文艺出版社 / 2024-7-15 / 58,小说,False
37016658,小城与不确定性的墙,https://book.douban.com/subject/37016658/,[日] 村上春树 / 施小炜 / 江苏凤凰文艺出版社 / 2024-10 / 89.90元,小说,False
34998019,秋园,https://book.douban.com/subject/34998019/,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,小说,False
35170896,平面国: 多维空间传奇往事,https://book.douban.com/subject/35170896/,[英] 埃德温·A.艾勃特 / 鲁冬旭 / 上海文化出版社 / 2020-8 / 39.80元,小说,False
36858240,怪画谜案,https://book.douban.com/subject/36858240/,[日] 雨穴 / 烨伊 / 台海出版社 / 2024-7 / 55.00元,小说,False
26980487,悉达多: 一首印度的诗,https://book.douban.com/subject/26980487/,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,小说,False
30475757,圣母,https://book.douban.com/subject/30475757/,[日] 秋吉理香子 / 郑晓蕾 / 新星出版社 / 2019-3 / 42.00,小说,False
37101170,诡计策划师,https://book.douban.com/subject/37101170/,[日] 片冈翔 / 周煜 / 新星出版社 / 2024-12 / 49.00元,小说,False
10554308,白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,小说,False
35989392,献给阿尔吉侬的花束,https://book.douban.com/subject/35989392/,[美] 丹尼尔·凯斯 / 陈澄和 / 河南文艺出版社 / 2022-8-1 / 48.00元,小说,False
35587028,生死疲劳,https://book.douban.com/subject/35587028/,莫言 / 浙江文艺出版社 / 2022-1 / 69.90元,小说,False
34432750,额尔古纳河右岸,https://book.douban.com/subject/34432750/,迟子建 / 人民文学出版社 / 2019-6-1 / 32.00元,小说,False
35984787,失明症漫记,https://book.douban.com/subject/35984787/,[葡] 若泽·萨拉马戈 / 范维信 / 河南文艺出版社 / 2022-8 / 66,小说,False
26362836,献给阿尔吉侬的花束,https://book.douban.com/subject/26362836/,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,小说,False
37113259,纽约客故事集,https://book.douban.com/subject/37113259/,[美] 安·比蒂 / 周玮 / 北京联合出版公司 / 2025-1 / 100.00元,小说,False
26877752,恶意,https://book.douban.com/subject/26877752/,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11 / 39.50元,小说,False
